,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,year,Arson
28,Mesa,478277.0,2051.0,19.0,272.0,450.0,1310.0,11214.0,1950.0,8404.0,860.0,2016,30.0
30,Nogales,20143.0,62.0,0.0,0.0,2.0,60.0,502.0,80.0,304.0,118.0,2016,0.0
31,Oro Valley,44089.0,29.0,0.0,4.0,7.0,18.0,653.0,70.0,555.0,28.0,2016,1.0
33,Paradise Valley,14155.0,9.0,0.0,5.0,1.0,3.0,232.0,57.0,168.0,7.0,2016,0.0
35,Payson,15351.0,55.0,0.0,5.0,5.0,45.0,379.0,85.0,265.0,29.0,2016,0.0
36,Peoria,174797.0,350.0,2.0,37.0,85.0,226.0,3709.0,645.0,2804.0,260.0,2016,12.0
37,Phoenix,1586611.0,10700.0,146.0,1019.0,3272.0,6263.0,58552.0,13024.0,37568.0,7960.0,2016,216.0
40,Prescott,42321.0,170.0,0.0,10.0,18.0,142.0,924.0,175.0,720.0,29.0,2016,5.0
41,Prescott,42900.0,78.0,1.0,13.0,14.0,50.0,994.0,126.0,836.0,32.0,2016,1.0
43,Sahuarita,25792.0,23.0,0.0,3.0,1.0,19.0,375.0,42.0,320.0,13.0,2016,3.0
45,Scottsdale,240885.0,369.0,4.0,90.0,112.0,163.0,5698.0,768.0,4681.0,249.0,2016,13.0
46,Show Low,10892.0,2.0,1.0,0.0,0.0,1.0,439.0,33.0,396.0,10.0,2016,4.0
47,Sierra Vista,42988.0,85.0,3.0,15.0,18.0,49.0,1278.0,249.0,974.0,55.0,2016,6.0
49,Somerton,15196.0,26.0,0.0,0.0,0.0,26.0,180.0,47.0,95.0,38.0,2016,0.0
51,Surprise,130679.0,135.0,6.0,12.0,38.0,79.0,2489.0,353.0,1980.0,156.0,2016,5.0
52,Tempe,178654.0,902.0,4.0,155.0,237.0,506.0,8144.0,1200.0,6494.0,450.0,2016,38.0
54,Tucson,533663.0,4245.0,30.0,469.0,1235.0,2511.0,31265.0,4138.0,25185.0,1942.0,2016,119.0
0,Apache Junction,41245.0,81.0,0.0,0.0,16.0,65.0,773.0,118.0,575.0,80.0,2018,5.0
2,Buckeye,71318.0,125.0,1.0,30.0,16.0,78.0,1348.0,171.0,1113.0,64.0,2018,1.0
3,Bullhead City,40354.0,149.0,1.0,20.0,34.0,94.0,1444.0,362.0,945.0,137.0,2018,4.0
4,Camp Verde,11249.0,31.0,0.0,3.0,3.0,25.0,212.0,53.0,142.0,17.0,2018,0.0
5,Casa Grande,56479.0,346.0,1.0,32.0,34.0,279.0,1478.0,228.0,1144.0,106.0,2018,6.0
6,Chandler,255986.0,606.0,4.0,146.0,123.0,333.0,5430.0,658.0,4455.0,317.0,2018,15.0
7,Chino Valley,11840.0,42.0,1.0,3.0,1.0,37.0,179.0,33.0,132.0,14.0,2018,0.0
11,El Mirage,35733.0,77.0,1.0,15.0,12.0,49.0,933.0,397.0,448.0,88.0,2018,11.0
12,Eloy,19549.0,81.0,0.0,8.0,2.0,71.0,351.0,70.0,252.0,29.0,2018,6.0
13,Flagstaff,72852.0,342.0,2.0,37.0,40.0,263.0,2465.0,178.0,2234.0,53.0,2018,48.0
14,Florence,25987.0,34.0,0.0,2.0,0.0,32.0,127.0,16.0,105.0,6.0,2018,0.0
16,Gilbert,247463.0,234.0,2.0,75.0,32.0,125.0,3273.0,406.0,2715.0,152.0,2018,16.0
17,Glendale,249799.0,1167.0,9.0,110.0,325.0,723.0,10186.0,1641.0,7491.0,1054.0,2018,62.0
19,Goodyear,82159.0,203.0,2.0,35.0,33.0,133.0,2081.0,358.0,1624.0,99.0,2018,0.0
24,Kingman,29669.0,118.0,1.0,5.0,15.0,97.0,1152.0,174.0,898.0,80.0,2018,15.0
25,Lake Havasu City,54678.0,88.0,2.0,20.0,6.0,60.0,830.0,155.0,615.0,60.0,2018,5.0
26,Marana,46447.0,33.0,0.0,7.0,5.0,21.0,1076.0,62.0,962.0,52.0,2018,7.0
28,Mesa,504873.0,1837.0,17.0,238.0,417.0,1165.0,10024.0,1563.0,7598.0,863.0,2018,12.0
30,Nogales,19973.0,41.0,2.0,0.0,0.0,39.0,610.0,82.0,392.0,136.0,2018,0.0
31,Oro Valley,44844.0,17.0,0.0,6.0,3.0,8.0,610.0,67.0,525.0,18.0,2018,0.0
33,Paradise Valley,14519.0,3.0,0.0,1.0,1.0,1.0,196.0,46.0,141.0,9.0,2018,0.0
35,Payson,15549.0,63.0,0.0,3.0,4.0,56.0,403.0,94.0,292.0,17.0,2018,3.0
36,Peoria,170177.0,388.0,3.0,57.0,68.0,260.0,3241.0,519.0,2505.0,217.0,2018,6.0
37,Phoenix,1653080.0,12110.0,132.0,1086.0,3112.0,7780.0,57732.0,10479.0,39438.0,7815.0,2018,242.0
39,Prescott,43172.0,136.0,2.0,11.0,2.0,121.0,896.0,107.0,749.0,40.0,2018,5.0
40,Prescott,45337.0,67.0,1.0,10.0,5.0,51.0,776.0,73.0,676.0,27.0,2018,1.0
43,Sahuarita,29896.0,38.0,0.0,8.0,6.0,24.0,348.0,42.0,281.0,25.0,2018,0.0
45,Scottsdale,254961.0,422.0,7.0,122.0,87.0,206.0,5683.0,711.0,4700.0,272.0,2018,17.0
46,Show Low,11156.0,59.0,0.0,7.0,0.0,52.0,427.0,60.0,350.0,17.0,2018,0.0
47,Sierra Vista,42574.0,104.0,0.0,26.0,14.0,64.0,1121.0,153.0,923.0,45.0,2018,2.0
49,Somerton,16380.0,19.0,2.0,0.0,1.0,16.0,218.0,63.0,121.0,34.0,2018,4.0
53,Surprise,136611.0,165.0,7.0,21.0,37.0,100.0,2103.0,239.0,1672.0,192.0,2018,5.0
54,Tempe,188543.0,913.0,5.0,176.0,189.0,543.0,7802.0,1017.0,6247.0,538.0,2018,12.0
58,Tucson,537392.0,3958.0,47.0,504.0,1224.0,2183.0,26623.0,3257.0,20798.0,2568.0,2018,158.0
64,Yuma,96121.0,491.0,9.0,37.0,55.0,390.0,2041.0,407.0,1417.0,217.0,2018,18.0
0,Apache Junction,33532.0,163.0,0.0,13.0,19.0,131.0,,,1280.0,225.0,2006,14.0
3,Bullhead City,40596.0,160.0,1.0,6.0,39.0,114.0,2049.0,472.0,1349.0,228.0,2006,19.0
4,Camp Verde,10543.0,50.0,0.0,4.0,0.0,46.0,274.0,37.0,204.0,33.0,2006,4.0
5,Casa Grande,34111.0,248.0,1.0,4.0,49.0,194.0,3093.0,1042.0,1678.0,373.0,2006,17.0
6,Chandler,243919.0,959.0,9.0,56.0,236.0,658.0,8724.0,1401.0,6152.0,1171.0,2006,70.0
7,Chino Valley,10081.0,15.0,0.0,1.0,1.0,13.0,189.0,52.0,126.0,11.0,2006,2.0
12,Cottonwood,11310.0,44.0,0.0,0.0,2.0,42.0,438.0,54.0,357.0,27.0,2006,5.0
14,El Mirage,23018.0,122.0,2.0,12.0,17.0,91.0,835.0,194.0,458.0,183.0,2006,14.0
15,Eloy,11270.0,83.0,0.0,4.0,33.0,46.0,676.0,196.0,418.0,62.0,2006,25.0
16,Flagstaff,59585.0,428.0,3.0,46.0,89.0,290.0,4024.0,497.0,3340.0,187.0,2006,59.0
17,Florence,17705.0,38.0,1.0,0.0,1.0,36.0,,,103.0,21.0,2006,0.0
19,Gilbert,180640.0,254.0,3.0,37.0,53.0,161.0,4935.0,949.0,3516.0,470.0,2006,23.0
20,Glendale,248587.0,1539.0,21.0,75.0,466.0,977.0,12094.0,3756.0,5625.0,2713.0,2006,85.0
22,Goodyear,45621.0,90.0,0.0,14.0,27.0,49.0,2675.0,1443.0,862.0,370.0,2006,4.0
26,Kingman,26524.0,123.0,4.0,7.0,29.0,83.0,2164.0,465.0,1503.0,196.0,2006,15.0
27,Lake Havasu City,57453.0,101.0,3.0,10.0,11.0,77.0,1715.0,321.0,1243.0,151.0,2006,11.0
29,Marana,27096.0,78.0,1.0,4.0,14.0,59.0,1167.0,235.0,796.0,136.0,2006,7.0
30,Mesa,459705.0,2003.0,26.0,203.0,508.0,1266.0,21304.0,3283.0,14367.0,3654.0,2006,38.0
32,Nogales,21629.0,79.0,0.0,0.0,14.0,65.0,573.0,117.0,322.0,134.0,2006,3.0
33,Oro Valley,39907.0,29.0,1.0,2.0,5.0,21.0,741.0,101.0,578.0,62.0,2006,9.0
34,Paradise Valley,15114.0,14.0,0.0,0.0,3.0,11.0,341.0,202.0,124.0,15.0,2006,2.0
35,Payson,15292.0,14.0,1.0,2.0,1.0,10.0,394.0,100.0,280.0,14.0,2006,2.0
36,Peoria,143483.0,317.0,2.0,41.0,77.0,197.0,5719.0,1075.0,3672.0,972.0,2006,20.0
37,Phoenix,1517443.0,11194.0,234.0,550.0,4363.0,6047.0,90050.0,16150.0,49811.0,24089.0,2006,525.0
39,Prescott,41903.0,181.0,3.0,12.0,32.0,134.0,1541.0,318.0,1133.0,90.0,2006,19.0
40,Prescott,34332.0,207.0,2.0,15.0,9.0,181.0,910.0,187.0,687.0,36.0,2006,4.0
43,Scottsdale,234652.0,505.0,5.0,65.0,153.0,282.0,8315.0,1721.0,5476.0,1118.0,2006,50.0
44,Sedona,11649.0,23.0,0.0,3.0,2.0,18.0,241.0,43.0,185.0,13.0,2006,0.0
45,Show Low,10382.0,98.0,0.0,7.0,2.0,89.0,478.0,159.0,294.0,25.0,2006,1.0
46,Sierra Vista,43510.0,109.0,1.0,10.0,16.0,82.0,1957.0,217.0,1575.0,165.0,2006,12.0
48,Somerton,10456.0,20.0,0.0,1.0,2.0,17.0,224.0,32.0,164.0,28.0,2006,1.0
52,Surprise,77255.0,106.0,0.0,17.0,21.0,68.0,2253.0,360.0,1610.0,283.0,2006,11.0
53,Tempe,167303.0,1094.0,5.0,71.0,426.0,592.0,12589.0,1795.0,8374.0,2420.0,2006,74.0
56,Tucson,535232.0,4580.0,51.0,294.0,1675.0,2560.0,,5121.0,,7376.0,2006,301.0
63,Yuma,87925.0,542.0,3.0,33.0,84.0,422.0,4066.0,809.0,2512.0,745.0,2006,45.0
0,Apache Junction,30925.0,140.0,4.0,18.0,26.0,92.0,1677.0,316.0,1127.0,234.0,2007,5.0
3,Buckeye,34618.0,51.0,1.0,6.0,9.0,35.0,1582.0,560.0,858.0,164.0,2007,6.0
4,Bullhead City,41209.0,114.0,4.0,2.0,33.0,75.0,1999.0,491.0,1367.0,141.0,2007,10.0
5,Camp Verde,10780.0,32.0,1.0,1.0,1.0,29.0,327.0,59.0,242.0,26.0,2007,3.0
6,Casa Grande,35951.0,307.0,2.0,5.0,79.0,221.0,3024.0,968.0,1710.0,346.0,2007,17.0
7,Chandler,250868.0,823.0,9.0,51.0,246.0,517.0,7934.0,1231.0,5871.0,832.0,2007,68.0
8,Chino Valley,10886.0,,0.0,2.0,0.0,,228.0,42.0,172.0,14.0,2007,0.0
13,Cottonwood,11455.0,52.0,1.0,0.0,8.0,43.0,531.0,72.0,421.0,38.0,2007,3.0
16,Eloy,10795.0,90.0,0.0,17.0,17.0,56.0,654.0,168.0,424.0,62.0,2007,15.0
17,Flagstaff,58978.0,316.0,3.0,51.0,63.0,199.0,3678.0,471.0,3087.0,120.0,2007,70.0
18,Florence,16964.0,49.0,0.0,0.0,2.0,47.0,173.0,25.0,133.0,15.0,2007,0.0
20,Gilbert,206681.0,236.0,1.0,23.0,56.0,156.0,4951.0,996.0,3530.0,425.0,2007,19.0
21,Glendale,250444.0,1508.0,15.0,58.0,542.0,893.0,12452.0,2766.0,6719.0,2967.0,2007,67.0
23,Goodyear,53834.0,143.0,1.0,31.0,27.0,84.0,2497.0,1179.0,996.0,322.0,2007,
28,Kingman,28306.0,89.0,1.0,8.0,16.0,64.0,2070.0,415.0,1485.0,170.0,2007,5.0
29,Lake Havasu City,58699.0,134.0,5.0,20.0,8.0,101.0,1813.0,307.0,1388.0,118.0,2007,10.0
31,Marana,33374.0,65.0,0.0,10.0,16.0,39.0,1149.0,180.0,841.0,128.0,2007,10.0
32,Mesa,454576.0,2224.0,22.0,175.0,620.0,1407.0,19945.0,2922.0,14063.0,2960.0,2007,54.0
34,Oro Valley,40364.0,24.0,0.0,6.0,5.0,13.0,759.0,134.0,580.0,45.0,2007,11.0
35,Paradise Valley,14594.0,7.0,0.0,0.0,1.0,6.0,352.0,204.0,124.0,24.0,2007,1.0
37,Peoria,147223.0,355.0,6.0,41.0,102.0,206.0,5802.0,1329.0,3697.0,776.0,2007,17.0
38,Phoenix,1541698.0,11159.0,213.0,509.0,4942.0,5495.0,89825.0,19212.0,49754.0,20859.0,2007,487.0
40,Prescott,42674.0,130.0,1.0,7.0,19.0,103.0,1387.0,279.0,1059.0,49.0,2007,2.0
41,Prescott,38204.0,194.0,0.0,14.0,10.0,170.0,851.0,168.0,635.0,48.0,2007,6.0
43,Sahuarita,16011.0,29.0,0.0,4.0,4.0,21.0,,,325.0,42.0,2007,2.0
44,Scottsdale,235243.0,438.0,5.0,41.0,143.0,249.0,8138.0,1523.0,5863.0,752.0,2007,31.0
45,Sedona,11484.0,9.0,0.0,3.0,1.0,5.0,275.0,84.0,180.0,11.0,2007,3.0
46,Show Low,11588.0,108.0,0.0,2.0,5.0,101.0,493.0,155.0,299.0,39.0,2007,1.0
47,Sierra Vista,43441.0,134.0,4.0,20.0,19.0,91.0,1644.0,283.0,1230.0,131.0,2007,26.0
49,Somerton,11370.0,22.0,0.0,0.0,2.0,20.0,220.0,49.0,132.0,39.0,2007,1.0
52,Surprise,98965.0,154.0,6.0,15.0,34.0,99.0,2493.0,534.0,1719.0,240.0,2007,20.0
53,Tempe,171320.0,916.0,10.0,63.0,330.0,513.0,11424.0,1866.0,7959.0,1599.0,2007,69.0
56,Tucson,523299.0,4103.0,49.0,277.0,1432.0,2345.0,,4787.0,,6767.0,2007,280.0
62,Yuma,88874.0,601.0,6.0,32.0,75.0,488.0,3913.0,888.0,2393.0,632.0,2007,30.0
0,Apache Junction,31521.0,123.0,2.0,6.0,31.0,84.0,1447.0,319.0,920.0,208.0,2008,16.0
4,Buckeye,32070.0,51.0,1.0,4.0,13.0,33.0,1542.0,472.0,929.0,141.0,2008,1.0
5,Bullhead City,41976.0,61.0,0.0,2.0,23.0,36.0,1702.0,452.0,1126.0,124.0,2008,8.0
6,Camp Verde,11011.0,33.0,0.0,1.0,0.0,32.0,232.0,51.0,170.0,11.0,2008,0.0
7,Casa Grande,39928.0,220.0,0.0,4.0,45.0,171.0,2956.0,1069.0,1629.0,258.0,2008,16.0
8,Chandler,253076.0,801.0,6.0,56.0,241.0,498.0,7984.0,1414.0,5768.0,802.0,2008,92.0
9,Chino Valley,11326.0,59.0,0.0,1.0,0.0,58.0,265.0,52.0,200.0,13.0,2008,2.0
14,Cottonwood,11520.0,48.0,0.0,1.0,4.0,43.0,532.0,79.0,424.0,29.0,2008,3.0
17,El Mirage,27543.0,72.0,1.0,6.0,38.0,27.0,1060.0,275.0,670.0,115.0,2008,8.0
18,Eloy,12214.0,91.0,0.0,13.0,16.0,62.0,627.0,226.0,343.0,58.0,2008,6.0
19,Flagstaff,60400.0,262.0,3.0,43.0,61.0,155.0,3364.0,409.0,2867.0,88.0,2008,27.0
20,Florence,17880.0,51.0,0.0,0.0,3.0,48.0,283.0,49.0,210.0,24.0,2008,1.0
22,Gilbert,220373.0,238.0,0.0,26.0,63.0,149.0,4933.0,1113.0,3429.0,391.0,2008,21.0
23,Glendale,256659.0,1330.0,17.0,66.0,588.0,659.0,13435.0,2665.0,8389.0,2381.0,2008,80.0
25,Goodyear,58732.0,144.0,6.0,19.0,33.0,86.0,2387.0,1153.0,961.0,273.0,2008,8.0
29,Kingman,28725.0,95.0,0.0,15.0,17.0,63.0,1587.0,301.0,1186.0,100.0,2008,4.0
30,Lake Havasu City,57616.0,100.0,1.0,18.0,10.0,71.0,1385.0,244.0,1056.0,85.0,2008,8.0
32,Marana,34549.0,33.0,0.0,4.0,15.0,14.0,1083.0,165.0,817.0,101.0,2008,1.0
33,Mesa,456821.0,2289.0,16.0,161.0,656.0,1456.0,17516.0,2866.0,12603.0,2047.0,2008,73.0
35,Nogales,19757.0,69.0,0.0,0.0,10.0,59.0,836.0,163.0,470.0,203.0,2008,0.0
36,Oro Valley,40785.0,26.0,1.0,6.0,7.0,12.0,740.0,138.0,564.0,38.0,2008,4.0
37,Paradise Valley,15134.0,9.0,0.0,0.0,1.0,8.0,351.0,237.0,101.0,13.0,2008,0.0
39,Peoria,151493.0,315.0,8.0,50.0,104.0,153.0,5339.0,1197.0,3572.0,570.0,2008,18.0
40,Phoenix,1585838.0,10465.0,167.0,481.0,4825.0,4992.0,82689.0,18783.0,48685.0,15221.0,2008,473.0
42,Prescott,43190.0,119.0,1.0,2.0,22.0,94.0,1230.0,244.0,946.0,40.0,2008,15.0
43,Prescott,39856.0,165.0,0.0,16.0,11.0,138.0,807.0,154.0,607.0,46.0,2008,4.0
45,Sahuarita,22389.0,26.0,1.0,3.0,6.0,16.0,523.0,78.0,421.0,24.0,2008,3.0
46,Scottsdale,238905.0,423.0,5.0,28.0,130.0,260.0,7903.0,1488.0,5897.0,518.0,2008,36.0
47,Sedona,11580.0,22.0,0.0,2.0,1.0,19.0,277.0,88.0,185.0,4.0,2008,4.0
48,Show Low,12394.0,114.0,0.0,6.0,3.0,105.0,591.0,182.0,394.0,15.0,2008,4.0
49,Sierra Vista,43642.0,111.0,1.0,13.0,24.0,73.0,1418.0,261.0,1056.0,101.0,2008,13.0
51,Somerton,11837.0,26.0,0.0,1.0,1.0,24.0,190.0,41.0,122.0,27.0,2008,3.0
53,Surprise,101141.0,115.0,0.0,8.0,45.0,62.0,2555.0,594.0,1753.0,208.0,2008,35.0
54,Tempe,176388.0,856.0,6.0,34.0,323.0,493.0,10242.0,1545.0,7584.0,1113.0,2008,54.0
57,Tucson,528917.0,4252.0,65.0,246.0,1451.0,2490.0,,5157.0,,5808.0,2008,318.0
63,Yuma,90245.0,511.0,4.0,25.0,56.0,426.0,3203.0,638.0,2196.0,369.0,2008,26.0
0,Apache Junction,32869.0,104.0,0.0,8.0,15.0,81.0,1200.0,296.0,780.0,124.0,2009,11.0
3,Buckeye,56780.0,69.0,1.0,6.0,15.0,47.0,1268.0,361.0,794.0,113.0,2009,3.0
4,Bullhead City,41721.0,65.0,1.0,1.0,27.0,36.0,1577.0,324.0,1166.0,87.0,2009,10.0
5,Camp Verde,11012.0,23.0,0.0,1.0,0.0,22.0,243.0,47.0,178.0,18.0,2009,3.0
6,Casa Grande,43254.0,254.0,4.0,6.0,60.0,184.0,2806.0,677.0,1901.0,228.0,2009,19.0
7,Chandler,256091.0,740.0,5.0,46.0,205.0,484.0,7458.0,1376.0,5599.0,483.0,2009,62.0
12,Cottonwood,11664.0,42.0,0.0,1.0,4.0,37.0,375.0,45.0,312.0,18.0,2009,4.0
15,El Mirage,28196.0,87.0,0.0,4.0,24.0,59.0,919.0,226.0,621.0,72.0,2009,12.0
16,Eloy,13049.0,106.0,0.0,21.0,15.0,70.0,590.0,217.0,328.0,45.0,2009,19.0
17,Flagstaff,61072.0,282.0,4.0,43.0,53.0,182.0,3118.0,303.0,2725.0,90.0,2009,17.0
18,Florence,21229.0,28.0,0.0,1.0,4.0,23.0,266.0,72.0,174.0,20.0,2009,0.0
20,Gilbert,231799.0,194.0,4.0,22.0,59.0,109.0,4571.0,1010.0,3337.0,224.0,2009,28.0
21,Glendale,255080.0,1147.0,18.0,54.0,420.0,655.0,12489.0,2551.0,8214.0,1724.0,2009,82.0
22,Goodyear,67390.0,134.0,0.0,14.0,28.0,92.0,2079.0,952.0,842.0,285.0,2009,18.0
26,Kingman,28700.0,90.0,3.0,10.0,12.0,65.0,1799.0,347.0,1348.0,104.0,2009,5.0
27,Lake Havasu City,58406.0,106.0,3.0,19.0,12.0,72.0,1362.0,323.0,955.0,84.0,2009,5.0
29,Marana,38028.0,46.0,0.0,4.0,22.0,20.0,1011.0,141.0,781.0,89.0,2009,7.0
31,Mesa,470833.0,2000.0,14.0,123.0,611.0,1252.0,16079.0,3076.0,11700.0,1303.0,2009,85.0
33,Nogales,19433.0,69.0,0.0,1.0,8.0,60.0,720.0,139.0,456.0,125.0,2009,0.0
34,Oro Valley,44854.0,21.0,0.0,2.0,3.0,16.0,691.0,122.0,536.0,33.0,2009,4.0
35,Paradise Valley,15141.0,14.0,0.0,1.0,7.0,6.0,327.0,227.0,85.0,15.0,2009,0.0
37,Peoria,164366.0,321.0,8.0,53.0,89.0,171.0,4872.0,1120.0,3303.0,449.0,2009,8.0
38,Phoenix,1597397.0,8730.0,122.0,522.0,3757.0,4329.0,65617.0,16281.0,39643.0,9693.0,2009,436.0
41,Prescott,43748.0,147.0,2.0,8.0,27.0,110.0,1238.0,266.0,941.0,31.0,2009,8.0
42,Prescott,40539.0,127.0,0.0,7.0,10.0,110.0,692.0,159.0,509.0,24.0,2009,4.0
45,Sahuarita,28201.0,14.0,0.0,2.0,2.0,10.0,333.0,53.0,257.0,23.0,2009,1.0
46,Scottsdale,239115.0,410.0,10.0,19.0,129.0,252.0,6798.0,1337.0,5155.0,306.0,2009,31.0
47,Sedona,11759.0,27.0,0.0,6.0,1.0,20.0,246.0,65.0,177.0,4.0,2009,2.0
48,Show Low,12929.0,99.0,3.0,4.0,1.0,91.0,451.0,131.0,305.0,15.0,2009,2.0
49,Sierra Vista,43956.0,111.0,1.0,13.0,23.0,74.0,1397.0,174.0,1159.0,64.0,2009,8.0
51,Somerton,13041.0,19.0,1.0,0.0,2.0,16.0,208.0,43.0,135.0,30.0,2009,4.0
54,Surprise,104692.0,111.0,1.0,9.0,37.0,64.0,2405.0,532.0,1706.0,167.0,2009,24.0
55,Tempe,177486.0,922.0,2.0,66.0,306.0,548.0,8986.0,1478.0,6692.0,816.0,2009,68.0
59,Tucson,547981.0,3560.0,35.0,204.0,1246.0,2075.0,,5062.0,,3564.0,2009,225.0
66,Yuma,91433.0,570.0,2.0,24.0,86.0,458.0,3471.0,1082.0,2075.0,314.0,2009,32.0
1,Apache Junction,34596.0,114.0,1.0,14.0,6.0,93.0,1605.0,385.0,986.0,234.0,2005,6.0
5,Bullhead City,38846.0,172.0,0.0,4.0,30.0,138.0,2211.0,498.0,1454.0,259.0,2005,19.0
6,Casa Grande,32253.0,266.0,3.0,4.0,53.0,206.0,3337.0,1208.0,1761.0,368.0,2005,16.0
7,Chandler,231613.0,826.0,8.0,54.0,200.0,564.0,8323.0,1439.0,5684.0,1200.0,2005,65.0
12,Cottonwood,10779.0,43.0,1.0,4.0,3.0,35.0,671.0,100.0,530.0,41.0,2005,5.0
15,El Mirage,21626.0,135.0,3.0,17.0,20.0,95.0,764.0,226.0,401.0,137.0,2005,5.0
16,Eloy,11059.0,106.0,1.0,7.0,18.0,80.0,766.0,294.0,402.0,70.0,2005,15.0
17,Flagstaff,58979.0,529.0,1.0,48.0,62.0,418.0,4277.0,511.0,3560.0,206.0,2005,59.0
18,Florence,17783.0,51.0,0.0,1.0,1.0,49.0,231.0,90.0,130.0,11.0,2005,0.0
20,Gilbert,162257.0,215.0,0.0,27.0,35.0,153.0,4455.0,975.0,3057.0,423.0,2005,18.0
21,Glendale,243608.0,1409.0,19.0,84.0,393.0,913.0,12413.0,3332.0,5980.0,3101.0,2005,73.0
23,Goodyear,38772.0,105.0,0.0,18.0,24.0,63.0,2041.0,1048.0,608.0,385.0,2005,13.0
27,Kingman,24997.0,95.0,0.0,13.0,15.0,67.0,2245.0,415.0,1624.0,206.0,2005,9.0
28,Lake Havasu City,55014.0,142.0,3.0,17.0,11.0,111.0,1842.0,315.0,1345.0,182.0,2005,8.0
30,Marana,23885.0,66.0,2.0,2.0,11.0,51.0,1217.0,176.0,878.0,163.0,2005,2.0
31,Mesa,452340.0,2280.0,29.0,194.0,460.0,1597.0,24071.0,3560.0,16263.0,4248.0,2005,52.0
33,Nogales,21321.0,74.0,0.0,3.0,11.0,60.0,713.0,114.0,453.0,146.0,2005,0.0
34,Oro Valley,38934.0,24.0,0.0,3.0,4.0,17.0,847.0,134.0,644.0,69.0,2005,8.0
36,Paradise Valley,14818.0,12.0,0.0,2.0,3.0,7.0,392.0,233.0,143.0,16.0,2005,4.0
38,Payson,14966.0,17.0,0.0,4.0,2.0,11.0,410.0,56.0,344.0,10.0,2005,1.0
39,Peoria,136995.0,289.0,1.0,38.0,69.0,181.0,5984.0,1127.0,3710.0,1147.0,2005,20.0
40,Phoenix,1466296.0,10691.0,220.0,533.0,4237.0,5701.0,93328.0,16255.0,52537.0,24536.0,2005,472.0
41,Prescott,40255.0,143.0,0.0,12.0,22.0,109.0,1878.0,386.0,1365.0,127.0,2005,19.0
42,Prescott,31260.0,145.0,2.0,10.0,7.0,126.0,801.0,137.0,604.0,60.0,2005,3.0
45,Scottsdale,229339.0,465.0,4.0,51.0,125.0,285.0,7733.0,1869.0,4703.0,1161.0,2005,30.0
46,Sedona,11444.0,22.0,0.0,6.0,1.0,15.0,324.0,78.0,236.0,10.0,2005,1.0
48,Sierra Vista,42209.0,123.0,4.0,11.0,33.0,75.0,1482.0,240.0,1116.0,126.0,2005,9.0
54,Surprise,62751.0,84.0,1.0,12.0,15.0,56.0,1863.0,290.0,1332.0,241.0,2005,11.0
55,Tempe,166144.0,1060.0,4.0,72.0,326.0,658.0,12400.0,1835.0,8260.0,2305.0,2005,57.0
58,Tucson,529447.0,5048.0,55.0,378.0,1685.0,2930.0,31299.0,5130.0,19642.0,6527.0,2005,307.0
65,Yuma,86157.0,565.0,10.0,30.0,76.0,449.0,3863.0,749.0,2523.0,591.0,2005,40.0
